id,code,name,dpto_id/id
dpto_122,l10n_sv_dpto.07_7,San Bartolo Perulapia,l10n_sv_dpto.07
dpto_123,l10n_sv_dpto.07_8,San Cristobal,l10n_sv_dpto.07
dpto_124,l10n_sv_dpto.07_9,San Juan Guayabal,l10n_sv_dpto.07
dpto_125,l10n_sv_dpto.07_10,San Pedro Perulapan,l10n_sv_dpto.07
dpto_126,l10n_sv_dpto.07_11,San Rafael Cedros,l10n_sv_dpto.07
dpto_127,l10n_sv_dpto.07_12,San Ramon,l10n_sv_dpto.07
dpto_128,l10n_sv_dpto.07_13,Santa Cruz Analquito,l10n_sv_dpto.07
dpto_129,l10n_sv_dpto.07_14,Santa Cruz Michapa,l10n_sv_dpto.07
dpto_130,l10n_sv_dpto.07_15,Suchitoto,l10n_sv_dpto.07
dpto_131,l10n_sv_dpto.07_16,Tenancingo,l10n_sv_dpto.07
dpto_132,l10n_sv_dpto.08_1,Cuyultitan,l10n_sv_dpto.08
dpto_133,l10n_sv_dpto.08_2,El Rosario,l10n_sv_dpto.08
dpto_134,l10n_sv_dpto.08_3,Jerusalen,l10n_sv_dpto.08
dpto_135,l10n_sv_dpto.08_4,Mercedes La Ceiba,l10n_sv_dpto.08
dpto_136,l10n_sv_dpto.08_5,Olocuilta,l10n_sv_dpto.08
dpto_137,l10n_sv_dpto.08_6,Paraiso Osorio,l10n_sv_dpto.08
dpto_138,l10n_sv_dpto.08_7,San Antonio Masahuat,l10n_sv_dpto.08
dpto_139,l10n_sv_dpto.08_8,San Emigdio,l10n_sv_dpto.08
dpto_140,l10n_sv_dpto.08_9,San Francisco Chinameca,l10n_sv_dpto.08
dpto_141,l10n_sv_dpto.08_10,San Juan Nonualco,l10n_sv_dpto.08
dpto_142,l10n_sv_dpto.08_11,San Juan Talpa,l10n_sv_dpto.08
dpto_143,l10n_sv_dpto.08_12,San Juan Tepezontes,l10n_sv_dpto.08
dpto_144,l10n_sv_dpto.08_13,San Luis Talpa,l10n_sv_dpto.08
dpto_145,l10n_sv_dpto.08_14,San Miguel Tepezontes,l10n_sv_dpto.08
dpto_146,l10n_sv_dpto.08_15,San Pedro Masahuat,l10n_sv_dpto.08
dpto_147,l10n_sv_dpto.08_16,San Pedro Nonualco,l10n_sv_dpto.08
dpto_148,l10n_sv_dpto.08_17,San Rafael Obrajuelo,l10n_sv_dpto.08
dpto_149,l10n_sv_dpto.08_18,Santa Maria Ostuma,l10n_sv_dpto.08
dpto_150,l10n_sv_dpto.08_19,Santiago Nonualco,l10n_sv_dpto.08
dpto_151,l10n_sv_dpto.08_20,Tapalhuaca,l10n_sv_dpto.08
dpto_152,l10n_sv_dpto.08_21,Zacatecoluca,l10n_sv_dpto.08
